Pointing,Gl,Gb,RA,Dec
MSGPS_S_0000,-79.71150144085101,-1.3557507204254986,9:55:45.19,-56:17:56.74
MSGPS_S_0001,-79.8557507204255,-1.1059036392472548,9:56:2.73,-56:00:48.59
MSGPS_S_0002,-79.71150144085101,-0.8560565580690108,9:57:57.3,-55:54:17.39
MSGPS_S_0003,-79.8557507204255,-0.6062094768907669,9:58:13.69,-55:37:8.06
MSGPS_S_0004,-79.71150144085101,-0.35636239571252304,10:00:6.75,-55:30:29.37
MSGPS_S_0005,-79.8557507204255,-0.1065153145342792,10:00:22.03,-55:13:18.99
MSGPS_S_0006,-79.71150144085101,0.14333176664396485,10:02:13.61,-55:06:33.0
MSGPS_S_0007,-79.8557507204255,0.3931788478222087,10:02:27.83,-54:49:21.66
MSGPS_S_0008,-79.71150144085101,0.6430259290004525,10:04:17.95,-54:42:28.55
MSGPS_S_0009,-79.8557507204255,0.8928730101786966,10:04:31.17,-54:25:16.36
MSGPS_S_0010,-79.71150144085101,1.1427200913569402,10:06:19.84,-54:18:16.31
MSGPS_S_0011,-79.423002881702,-1.3557507204254986,9:57:23.77,-56:28:35.53
MSGPS_S_0012,-79.5672521612765,-1.1059036392472548,9:57:40.67,-56:11:26.55
MSGPS_S_0013,-79.423002881702,-0.8560565580690108,9:59:35.49,-56:04:49.74
MSGPS_S_0014,-79.5672521612765,-0.6062094768907669,9:59:51.24,-55:47:39.63
MSGPS_S_0015,-79.423002881702,-0.35636239571252304,10:01:44.53,-55:40:55.36
MSGPS_S_0016,-79.5672521612765,-0.1065153145342792,10:01:59.17,-55:23:44.24
MSGPS_S_0017,-79.423002881702,0.14333176664396485,10:03:50.95,-55:16:52.7
MSGPS_S_0018,-79.5672521612765,0.3931788478222087,10:04:4.54,-54:59:40.67
MSGPS_S_0019,-79.423002881702,0.6430259290004525,10:05:54.84,-54:52:42.04
MSGPS_S_0020,-79.5672521612765,0.8928730101786966,10:06:7.43,-54:35:29.2
MSGPS_S_0021,-79.423002881702,1.1427200913569402,10:07:56.27,-54:28:23.65
MSGPS_S_0022,-79.134504322553,-1.3557507204254986,9:59:3.26,-56:39:9.5
MSGPS_S_0023,-79.2787536021275,-1.1059036392472548,9:59:19.5,-56:21:59.7
MSGPS_S_0024,-79.134504322553,-0.8560565580690108,10:01:14.57,-56:15:17.25
MSGPS_S_0025,-79.2787536021275,-0.6062094768907669,10:01:29.66,-55:58:6.37
MSGPS_S_0026,-79.134504322553,-0.35636239571252304,10:03:23.17,-55:51:16.48
MSGPS_S_0027,-79.2787536021275,-0.1065153145342792,10:03:37.16,-55:34:4.64
MSGPS_S_0028,-79.134504322553,0.14333176664396485,10:05:29.14,-55:27:7.51
MSGPS_S_0029,-79.2787536021275,0.3931788478222087,10:05:42.08,-55:09:54.81
MSGPS_S_0030,-79.134504322553,0.6430259290004525,10:07:32.56,-55:02:50.62
MSGPS_S_0031,-79.2787536021275,0.8928730101786966,10:07:44.5,-54:45:37.16
MSGPS_S_0032,-79.134504322553,1.1427200913569402,10:09:33.51,-54:38:26.08
MSGPS_S_0033,-78.846005763404,-1.3557507204254986,10:00:43.67,-56:49:38.56
MSGPS_S_0034,-78.99025504297849,-1.1059036392472548,10:00:59.24,-56:32:27.98
MSGPS_S_0035,-78.846005763404,-0.8560565580690108,10:02:54.55,-56:25:39.82
MSGPS_S_0036,-78.99025504297849,-0.6062094768907669,10:03:8.97,-56:08:28.21
MSGPS_S_0037,-78.846005763404,-0.35636239571252304,10:05:2.69,-56:01:32.65
MSGPS_S_0038,-78.99025504297849,-0.1065153145342792,10:05:16.02,-55:44:20.13
MSGPS_S_0039,-78.846005763404,0.14333176664396485,10:07:8.19,-55:37:17.36
MSGPS_S_0040,-78.99025504297849,0.3931788478222087,10:07:20.46,-55:20:4.02
MSGPS_S_0041,-78.846005763404,0.6430259290004525,10:09:11.11,-55:12:54.22
MSGPS_S_0042,-78.99025504297849,0.8928730101786966,10:09:22.39,-54:55:40.17
MSGPS_S_0043,-78.846005763404,1.1427200913569402,10:11:11.55,-54:48:23.51
MSGPS_S_0044,-78.557507204255,-1.3557507204254986,10:02:25.01,-57:00:2.64
MSGPS_S_0045,-78.7017564838295,-1.1059036392472548,10:02:39.9,-56:42:51.3
MSGPS_S_0046,-78.557507204255,-0.8560565580690108,10:04:35.43,-56:35:57.39
MSGPS_S_0047,-78.7017564838295,-0.6062094768907669,10:04:49.17,-56:18:45.08
MSGPS_S_0048,-78.557507204255,-0.35636239571252304,10:06:43.09,-56:11:43.8
MSGPS_S_0049,-78.7017564838295,-0.1065153145342792,10:06:55.73,-55:54:30.62
MSGPS_S_0050,-78.557507204255,0.14333176664396485,10:08:48.09,-55:47:22.16
MSGPS_S_0051,-78.7017564838295,0.3931788478222087,10:08:59.68,-55:30:8.22
MSGPS_S_0052,-78.557507204255,0.6430259290004525,10:10:50.5,-55:22:52.76
MSGPS_S_0053,-78.7017564838295,0.8928730101786966,10:11:1.1,-55:05:38.15
MSGPS_S_0054,-78.557507204255,1.1427200913569402,10:12:50.4,-54:58:15.87
MSGPS_S_0055,-78.269008645106,-1.3557507204254986,10:04:7.29,-57:10:21.65
MSGPS_S_0056,-78.4132579246805,-1.1059036392472548,10:04:21.47,-56:53:9.58
MSGPS_S_0057,-78.269008645106,-0.8560565580690108,10:06:17.22,-56:46:9.88
MSGPS_S_0058,-78.4132579246805,-0.6062094768907669,10:06:30.26,-56:28:56.89
MSGPS_S_0059,-78.269008645106,-0.35636239571252304,10:08:24.38,-56:21:49.84
MSGPS_S_0060,-78.4132579246805,-0.1065153145342792,10:08:36.32,-56:04:36.04
MSGPS_S_0061,-78.269008645106,0.14333176664396485,10:10:28.85,-55:57:21.85
MSGPS_S_0062,-78.4132579246805,0.3931788478222087,10:10:39.75,-55:40:7.33
MSGPS_S_0063,-78.269008645106,0.6430259290004525,10:12:30.72,-55:32:46.18
MSGPS_S_0064,-78.4132579246805,0.8928730101786966,10:12:40.63,-55:15:31.04
MSGPS_S_0065,-78.269008645106,1.1427200913569402,10:14:30.07,-55:08:3.1
MSGPS_S_0066,-77.980510085957,-1.3557507204254986,10:05:50.51,-57:20:35.51
MSGPS_S_0067,-78.12475936553149,-1.1059036392472548,10:06:3.97,-57:03:22.75
MSGPS_S_0068,-77.980510085957,-0.8560565580690108,10:07:59.93,-56:56:17.19
MSGPS_S_0069,-78.12475936553149,-0.6062094768907669,10:08:12.25,-56:39:3.56
MSGPS_S_0070,-77.980510085957,-0.35636239571252304,10:10:6.56,-56:31:50.71
MSGPS_S_0071,-78.12475936553149,-0.1065153145342792,10:10:17.79,-56:14:36.31
MSGPS_S_0072,-77.980510085957,0.14333176664396485,10:12:10.48,-56:07:16.34
MSGPS_S_0073,-78.12475936553149,0.3931788478222087,10:12:20.68,-55:50:1.28
MSGPS_S_0074,-77.980510085957,0.6430259290004525,10:14:11.79,-55:42:34.39
MSGPS_S_0075,-78.12475936553149,0.8928730101786966,10:14:20.99,-55:25:18.76
MSGPS_S_0076,-77.980510085957,1.1427200913569402,10:16:10.56,-55:17:45.12
MSGPS_S_0077,-77.69201152680799,-1.3557507204254986,10:07:34.68,-57:30:44.15
MSGPS_S_0078,-77.83626080638248,-1.1059036392472548,10:07:47.41,-57:13:30.72
MSGPS_S_0079,-77.69201152680799,-0.8560565580690108,10:09:43.56,-57:06:19.27
MSGPS_S_0080,-77.83626080638248,-0.6062094768907669,10:09:55.15,-56:49:5.03
MSGPS_S_0081,-77.69201152680799,-0.35636239571252304,10:11:49.63,-56:41:46.31
MSGPS_S_0082,-77.83626080638248,-0.1065153145342792,10:12:0.14,-56:24:31.36
MSGPS_S_0083,-77.69201152680799,0.14333176664396485,10:13:52.99,-56:17:5.57
MSGPS_S_0084,-77.83626080638248,0.3931788478222087,10:14:2.46,-55:59:50.0
MSGPS_S_0085,-77.69201152680799,0.6430259290004525,10:15:53.71,-55:52:17.32
MSGPS_S_0086,-77.83626080638248,0.8928730101786966,10:16:2.19,-55:35:1.23
MSGPS_S_0087,-77.69201152680799,1.1427200913569402,10:17:51.88,-55:27:21.85
MSGPS_S_0088,-77.40351296765898,-1.3557507204254986,10:09:19.81,-57:40:47.47
MSGPS_S_0089,-77.54776224723348,-1.1059036392472548,10:09:31.78,-57:23:33.42
MSGPS_S_0090,-77.40351296765898,-0.8560565580690108,10:11:28.12,-57:16:16.02
MSGPS_S_0091,-77.54776224723348,-0.6062094768907669,10:11:38.96,-56:59:1.2
MSGPS_S_0092,-77.40351296765898,-0.35636239571252304,10:13:33.61,-56:51:36.58
MSGPS_S_0093,-77.54776224723348,-0.1065153145342792,10:13:43.37,-56:34:21.1
MSGPS_S_0094,-77.40351296765898,0.14333176664396485,10:15:36.37,-56:26:49.44
MSGPS_S_0095,-77.54776224723348,0.3931788478222087,10:15:45.1,-56:09:33.4
