Pointing,Gl,Gb,RA,Dec
MMGPS_U_0000,-61.14926512505848,-10.574632562529235,11:56:2.44,-73:00:21.36
MMGPS_U_0001,-61.57463256252924,-9.837874548944493,11:52:46.57,-72:11:39.95
MMGPS_U_0002,-61.14926512505848,-9.10111653535975,12:00:4.78,-71:33:53.11
MMGPS_U_0003,-61.57463256252924,-8.36435852177501,11:56:51.94,-70:45:25.58
MMGPS_U_0004,-61.14926512505848,-7.627600508190268,12:03:33.05,-70:07:8.34
MMGPS_U_0005,-61.57463256252924,-6.890842494605526,12:00:24.36,-69:18:53.53
MMGPS_U_0006,-61.14926512505848,-6.154084481020783,12:06:34.12,-68:40:10.41
MMGPS_U_0007,-61.57463256252924,-5.417326467436042,12:03:30.18,-67:52:7.24
MMGPS_U_0008,-61.14926512505848,-4.6805684538513,12:09:13.14,-67:13:1.84
MMGPS_U_0009,-61.57463256252924,-3.9438104402665575,12:06:14.26,-66:25:9.35
MMGPS_U_0010,-61.14926512505848,-3.207052426681816,12:11:34.03,-65:45:44.54
MMGPS_U_0011,-61.57463256252924,-2.470294413097074,12:08:40.34,-64:58:1.87
MMGPS_U_0012,-61.14926512505848,-1.7335363995123316,12:13:39.87,-64:18:20.0
MMGPS_U_0013,-61.57463256252924,-0.9967783859275894,12:10:51.37,-63:30:46.38
MMGPS_U_0014,-61.14926512505848,-0.2600203723428489,12:15:33.06,-62:50:49.39
MMGPS_U_0015,-61.57463256252924,0.47673764124189333,12:12:49.69,-62:03:24.14
MMGPS_U_0016,-61.14926512505848,1.2134956548266356,12:17:15.54,-61:23:13.64
MMGPS_U_0017,-61.57463256252924,1.9502536684113778,12:14:37.18,-60:35:56.16
MMGPS_U_0018,-61.14926512505848,2.68701168199612,12:18:48.88,-59:55:33.51
MMGPS_U_0019,-61.57463256252924,3.4237696955808605,12:16:15.37,-59:08:23.26
MMGPS_U_0020,-61.14926512505848,4.160527709165603,12:20:14.33,-58:27:49.6
MMGPS_U_0021,-61.57463256252924,4.897285722750345,12:17:45.54,-57:40:46.1
MMGPS_U_0022,-61.14926512505848,5.634043736335087,12:21:32.96,-57:00:2.43
