pointing_id,target,utc_start,ra,dec
7936,MSGPS_S_0060,2023-05-02 12:43:10,10:08:36.32,-56:04:36.0
8059,MSGPS_S_0060,2023-05-15 12:21:23,10:08:36.32,-56:04:36.0
7937,MSGPS_S_0062,2023-05-02 13:06:45,10:10:39.75,-55:40:07.3
8060,MSGPS_S_0062,2023-05-15 12:44:59,10:10:39.75,-55:40:07.3
7938,MSGPS_S_0066,2023-05-02 13:30:18,10:05:50.51,-57:20:35.5
8061,MSGPS_S_0066,2023-05-15 13:08:35,10:05:50.51,-57:20:35.5
7939,MSGPS_S_0067,2023-05-02 13:53:53,10:06:03.97,-57:03:22.8
8062,MSGPS_S_0067,2023-05-15 13:32:11,10:06:03.97,-57:03:22.8
7940,MSGPS_S_0068,2023-05-02 14:17:30,10:07:59.93,-56:56:17.2
8078,MSGPS_S_0068,2023-05-15 20:13:33,10:07:59.93,-56:56:17.2
7941,MSGPS_S_0141,2023-05-02 14:41:08,10:24:40.86,-56:22:12.3
8742,MSGPS_S_0141,2023-07-28 16:50:50,10:24:40.86,-56:22:12.3
7948,MSGPS_S_0816,2023-05-02 17:39:04,12:39:44.94,-63:41:54.3
8625,MSGPS_S_0816,2023-07-09 13:22:25,12:39:44.94,-63:41:54.3
7949,MSGPS_S_0871,2023-05-02 18:02:45,12:52:46.49,-63:43:38.7
9193,MSGPS_S_0871,2023-09-24 08:24:21,12:52:46.49,-63:43:38.7
7950,MSGPS_S_0970,2023-05-02 18:32:30,13:16:09.58,-63:35:45.6
9386,MSGPS_S_0970,2023-11-05 06:23:12,13:16:09.58,-63:35:45.6
7951,MSGPS_S_1078,2023-05-02 18:56:12,13:42:31.70,-63:40:03.7
8073,MSGPS_S_1078,2023-05-15 18:10:53,13:42:31.70,-63:40:03.7
7976,MSGPS_S_0069,2023-05-05 12:33:13,10:08:12.25,-56:39:03.6
8124,MSGPS_S_0069,2023-05-23 11:51:16,10:08:12.25,-56:39:03.6
7977,MSGPS_S_0070,2023-05-05 12:56:46,10:10:06.56,-56:31:50.7
8125,MSGPS_S_0070,2023-05-23 12:14:51,10:10:06.56,-56:31:50.7
7978,MSGPS_S_0071,2023-05-05 13:20:22,10:10:17.79,-56:14:36.3
8126,MSGPS_S_0071,2023-05-23 12:38:27,10:10:17.79,-56:14:36.3
7979,MSGPS_S_0072,2023-05-05 13:43:58,10:12:10.48,-56:07:16.3
8127,MSGPS_S_0072,2023-05-23 13:02:05,10:12:10.48,-56:07:16.3
7980,MSGPS_S_0073,2023-05-05 14:07:36,10:12:20.68,-55:50:01.3
8143,MSGPS_S_0073,2023-05-23 19:43:16,10:12:20.68,-55:50:01.3
7981,MSGPS_S_0142,2023-05-05 14:31:16,10:26:30.97,-56:14:03.6
8743,MSGPS_S_0142,2023-07-28 17:18:48,10:26:30.97,-56:14:03.6
7989,MSGPS_S_0882,2023-05-05 17:52:53,12:55:22.88,-63:43:28.1
8071,MSGPS_S_0882,2023-05-15 17:17:24,12:55:22.88,-63:43:28.1
7991,MSGPS_S_1079,2023-05-05 18:46:22,13:40:49.37,-63:27:01.8
9387,MSGPS_S_1079,2023-11-05 06:46:54,13:40:49.37,-63:27:01.8
7992,MSGPS_S_1223_cand,2023-05-05 19:10:00,14:13:30.22,-62:05:36.7
10877,MSGPS_S_1223_cand,2024-03-24 21:50:13,14:13:30.22,-62:05:36.7
7993,MSGPS_S_1223,2023-05-05 19:10:00,14:13:19.27,-62:13:38.2
10878,MSGPS_S_1223,2024-03-24 21:50:13,14:13:19.27,-62:13:38.2
7997,MSGPS_S_0074,2023-05-08 12:20:16,10:14:11.79,-55:42:34.4
8193,MSGPS_S_0074,2023-05-27 11:34:21,10:14:11.79,-55:42:34.4
7998,MSGPS_S_0075,2023-05-08 12:43:52,10:14:20.99,-55:25:18.8
8194,MSGPS_S_0075,2023-05-27 11:57:56,10:14:20.99,-55:25:18.8
7999,MSGPS_S_0076,2023-05-08 13:07:27,10:16:10.56,-55:17:45.1
8195,MSGPS_S_0076,2023-05-27 12:21:35,10:16:10.56,-55:17:45.1
8000,MSGPS_S_0077,2023-05-08 13:31:04,10:07:34.68,-57:30:44.2
8196,MSGPS_S_0077,2023-05-27 12:45:13,10:07:34.68,-57:30:44.2
8001,MSGPS_S_0078,2023-05-08 13:54:40,10:07:47.41,-57:13:30.7
8212,MSGPS_S_0078,2023-05-27 19:26:36,10:07:47.41,-57:13:30.7
8002,MSGPS_S_0143,2023-05-08 14:18:17,10:18:20.01,-58:29:41.4
8739,MSGPS_S_0143,2023-07-28 15:31:49,10:18:20.01,-58:29:41.4
8006,MSGPS_S_0517,2023-05-08 16:04:35,11:30:39.22,-62:47:38.4
8067,MSGPS_S_0517,2023-05-15 15:42:10,11:30:39.22,-62:47:38.4
8007,MSGPS_S_0616,2023-05-08 16:28:34,11:52:48.61,-63:29:11.8
8068,MSGPS_S_0616,2023-05-15 16:06:08,11:52:48.61,-63:29:11.8
8011,MSGPS_S_0979,2023-05-08 18:09:38,13:19:13.40,-64:03:49.5
8072,MSGPS_S_0979,2023-05-15 17:47:09,13:19:13.40,-64:03:49.5
8014,MSGPS_S_1441,2023-05-08 19:23:31,14:59:13.98,-60:24:46.0
8630,MSGPS_S_1441,2023-07-09 15:30:20,14:59:13.98,-60:24:46.0
8016,MSGPS_S_1870,2023-05-08 20:11:19,16:07:11.69,-53:52:28.7
8632,MSGPS_S_1870,2023-07-09 16:18:07,16:07:11.69,-53:52:28.7
8039,MSGPS_S_0079,2023-05-11 12:14:17,10:09:43.56,-57:06:19.3
8213,MSGPS_S_0079,2023-06-03 11:06:27,10:09:43.56,-57:06:19.3
8040,MSGPS_S_0080,2023-05-11 12:37:50,10:09:55.15,-56:49:05.0
8214,MSGPS_S_0080,2023-06-03 11:30:01,10:09:55.15,-56:49:05.0
8041,MSGPS_S_0081,2023-05-11 13:01:26,10:11:49.63,-56:41:46.3
8215,MSGPS_S_0081,2023-06-03 11:53:38,10:11:49.63,-56:41:46.3
8042,MSGPS_S_0082,2023-05-11 13:25:02,10:12:00.14,-56:24:31.4
8216,MSGPS_S_0082,2023-06-03 12:17:17,10:12:00.14,-56:24:31.4
8043,MSGPS_S_0083,2023-05-11 13:48:40,10:13:52.99,-56:17:05.6
8232,MSGPS_S_0083,2023-06-03 18:58:49,10:13:52.99,-56:17:05.6
8044,MSGPS_S_0144,2023-05-11 14:12:17,10:18:27.97,-58:12:24.8
8779,MSGPS_S_0144,2023-08-01 15:17:31,10:18:27.97,-58:12:24.8
8051,MSGPS_S_0827,2023-05-11 17:10:12,12:42:21.09,-63:42:36.2
