pointing_id,target,utc_start,ra,dec
7745,MSGPS_S_0000,2023-03-07 15:21:52,9:55:45.19,-56:17:56.7
7746,MSGPS_S_0001,2023-03-07 15:52:38,9:56:02.73,-56:00:48.6
7747,MSGPS_S_0002,2023-03-07 16:09:42,9:57:57.30,-55:54:17.4
7748,MSGPS_S_0003,2023-03-07 16:33:13,9:58:13.69,-55:37:08.1
7749,MSGPS_S_0004,2023-03-07 16:56:49,10:00:06.75,-55:30:29.4
7750,MSGPS_S_0005,2023-03-07 17:20:25,10:00:22.03,-55:13:19.0
7751,MSGPS_S_0006,2023-03-07 17:44:03,10:02:13.61,-55:06:33.0
7752,MSGPS_S_0054,2023-03-07 18:07:43,10:12:50.40,-54:58:15.9
7753,MSGPS_S_0173,2023-03-07 18:31:22,10:30:00.10,-57:06:41.5
7754,MSGPS_S_0253,2023-03-07 18:55:00,10:37:35.30,-60:00:00.5
7755,MSGPS_S_0330,2023-03-07 19:18:37,10:52:04.71,-60:56:36.9
7757,MSGPS_S_0440,2023-03-07 19:53:13,11:14:12.63,-62:06:47.1
7758,MSGPS_S_0007,2023-03-14 14:54:39,10:02:27.83,-54:49:21.7
7759,MSGPS_S_0008,2023-03-14 15:18:15,10:04:17.95,-54:42:28.6
7760,MSGPS_S_0009,2023-03-14 15:41:50,10:04:31.17,-54:25:16.4
7761,MSGPS_S_0010,2023-03-14 16:05:23,10:06:19.84,-54:18:16.3
7762,MSGPS_S_0011,2023-03-14 16:28:58,9:57:23.77,-56:28:35.5
7763,MSGPS_S_0012,2023-03-14 16:52:33,9:57:40.67,-56:11:26.6
7764,MSGPS_S_0013,2023-03-14 17:16:09,9:59:35.49,-56:04:49.7
7765,MSGPS_S_0061,2023-03-14 17:39:46,10:10:28.85,-55:57:21.9
7766,MSGPS_S_0175,2023-03-14 18:03:25,10:31:52.55,-56:40:56.4
7767,MSGPS_S_0254,2023-03-14 18:27:04,10:37:33.87,-59:42:42.0
7768,MSGPS_S_0331,2023-03-14 18:50:41,10:51:55.58,-60:39:20.5
7769,MSGPS_S_0442,2023-03-14 19:25:17,11:15:45.17,-61:38:51.4
7772,MSGPS_S_0014,2023-03-17 14:47:47,9:59:51.24,-55:47:39.6
7773,MSGPS_S_0015,2023-03-17 15:11:21,10:01:44.53,-55:40:55.4
7774,MSGPS_S_0016,2023-03-17 15:34:54,10:01:59.17,-55:23:44.2
7775,MSGPS_S_0017,2023-03-17 15:58:29,10:03:50.95,-55:16:52.7
7776,MSGPS_S_0018,2023-03-17 16:22:04,10:04:04.54,-54:59:40.7
7777,MSGPS_S_0019,2023-03-17 16:45:41,10:05:54.84,-54:52:42.0
7778,MSGPS_S_0020,2023-03-17 17:09:19,10:06:07.43,-54:35:29.2
7779,MSGPS_S_0063,2023-03-17 17:32:59,10:12:30.72,-55:32:46.2
7780,MSGPS_S_0176,2023-03-17 17:56:36,10:23:55.99,-58:57:52.5
7781,MSGPS_S_0255,2023-03-17 18:20:12,10:39:31.51,-59:33:50.0
7782,MSGPS_S_0332,2023-03-17 18:43:51,10:53:52.57,-60:29:41.4
7783,MSGPS_S_0451,2023-03-17 19:18:26,11:16:30.81,-62:13:03.4
7784,MSGPS_S_0528,2023-03-17 19:42:29,11:33:03.72,-62:52:52.9
7785,MSGPS_S_0627,2023-03-17 20:06:25,11:55:20.02,-63:33:00.8
7786,MSGPS_S_0737,2023-03-17 20:30:14,12:21:06.04,-64:01:55.6
7787,MSGPS_S_0814,2023-03-17 20:53:56,12:39:32.44,-64:11:51.3
7788,MSGPS_S_0869,2023-03-17 21:17:40,12:52:47.93,-64:13:37.6
7789,MSGPS_S_0957,2023-03-17 21:41:23,13:13:58.05,-64:07:12.1
7790,MSGPS_S_1100,2023-03-17 22:11:09,13:47:36.44,-63:32:55.0
7791,MSGPS_S_1287,2023-03-17 22:37:45,14:28:43.46,-62:06:37.3
7812,MSGPS_S_0021,2023-03-24 14:17:52,10:07:56.27,-54:28:23.7
7813,MSGPS_S_0022,2023-03-24 14:41:26,9:59:03.26,-56:39:09.5
7814,MSGPS_S_0023,2023-03-24 15:04:58,9:59:19.50,-56:21:59.7
7815,MSGPS_S_0024,2023-03-24 15:28:32,10:01:14.57,-56:15:17.3
7816,MSGPS_S_0025,2023-03-24 15:52:06,10:01:29.66,-55:58:06.4
7817,MSGPS_S_0026,2023-03-24 16:15:41,10:03:23.17,-55:51:16.5
7818,MSGPS_S_0027,2023-03-24 16:39:17,10:03:37.16,-55:34:04.6
7819,MSGPS_S_0064,2023-03-24 17:02:56,10:12:40.63,-55:15:31.0
7820,MSGPS_S_0178,2023-03-24 17:26:34,10:25:58.75,-58:32:28.2
7821,MSGPS_S_0256,2023-03-24 17:50:11,10:39:29.10,-59:16:31.6
7822,MSGPS_S_0334,2023-03-24 18:13:49,10:55:37.49,-60:02:40.6
7823,MSGPS_S_0452,2023-03-24 18:48:27,11:16:07.78,-61:55:57.5
7824,MSGPS_S_0539,2023-03-24 19:12:30,11:35:29.07,-62:57:58.3
7825,MSGPS_S_0638,2023-03-24 19:36:26,11:57:52.09,-63:36:39.9
7826,MSGPS_S_0748,2023-03-24 20:00:15,12:23:43.21,-64:03:52.4
7827,MSGPS_S_0825,2023-03-24 20:23:57,12:42:11.36,-64:12:34.0
7828,MSGPS_S_0880,2023-03-24 20:47:40,12:55:27.11,-64:13:26.8
7829,MSGPS_S_0968,2023-03-24 21:11:23,13:16:35.88,-64:05:36.1
7830,MSGPS_S_1111,2023-03-24 21:41:09,13:50:07.84,-63:29:05.8
7831,MSGPS_S_1298,2023-03-24 22:07:45,14:31:00.66,-62:00:12.4
7842,MSGPS_S_0028,2023-04-14 13:11:44,10:05:29.14,-55:27:07.5
7843,MSGPS_S_0029,2023-04-14 13:26:33,10:05:42.08,-55:09:54.8
7844,MSGPS_S_0030,2023-04-14 13:50:09,10:07:32.56,-55:02:50.6
7845,MSGPS_S_0031,2023-04-14 14:13:43,10:07:44.50,-54:45:37.2
7846,MSGPS_S_0032,2023-04-14 14:37:21,10:09:33.51,-54:38:26.1
