Pointing,RA,DEC,Rise_time_sidereal_20_deg,Set_time_sidereal_20_deg,Obs_type,Priority
J0825-5010,08:25:26.87,-50:10:38.5,2:08:21.3617352,14:45:13.93601409,Phase_Cal,1
J0906-6829,09:06:52.44,-68:29:39.8,1:23:07.38713038,16:51:18.41302868,Phase_Cal,1
J1318-4620,13:18:30.06,-46:20:34.9,7:11:11.7125265,19:29:47.53051924,Phase_Cal,1
J1619-8418,16:19:33.97,-84:18:19.1,0:00:00.0000000,23:59:59.99999999,Phase_Cal,1
J1726-5529,17:26:49.7,-55:29:38,10:53:40.02261884,0:05:07.88721753,Phase_Cal,1
J2232+1143,22:32:36.41,+11:43:50.9,18:51:36.26623055,2:19:42.41114845,Phase_Cal,1
J0828-3731,08:28:05,-37:31:06,2:43:04.03755316,14:16:45.86359971,Phase_Cal,1
J1154-3505,11:54:22,-35:05:29,6:13:14.5823574,17:36:36.9022575,Phase_Cal,1
J1323-4452,13:23:04,-44:52:34,7:20:18.96304362,19:30:28.26937821,Phase_Cal,1
J1424-4913,14:24:32,-49:13:50,8:10:20.09165784,20:40:17.08133459,Phase_Cal,1
J1733-1304,17:33:03,-13:04:50,12:41:38.20560074,22:26:50.85084207,Phase_Cal,1
J1744-5144,17:44:25,-51:44:44,11:21:40.94351384,0:10:44.7439907,Phase_Cal,1
J2158-1501,22:32:36.41,+11:43:50.9,18:51:36.26623055,2:19:42.41114845,Phase_Cal,1
