Start Time UTC,Start Time LST,Source_Name,RA,DEC,Obs_Type,Integration_Time
2023-02-01 19:47:11,06:00:00.003860,J0408-6545,04:08:20.3782,-65:45:09.08,Flux_Cal,300
2023-02-01 19:53:11,06:06:00.003860,3C138,05:21:09.886021,+16:38:22.05122,Pol_Cal,300
2023-02-01 19:59:11,06:12:00.003860,J0825-5010,08:25:26.87,-50:10:38.5,Phase_Cal,300
2023-02-01 20:05:11,06:18:00.003860,MSGPS_S_0012,09:57:40.67,-56:11:26.55,Target,1257
2023-02-01 20:27:08,06:39:57.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 20:33:08,06:45:57.003860,MSGPS_S_0034,10:00:59.24,-56:32:27.98,Target,1257
2023-02-01 20:55:05,07:07:54.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 21:01:05,07:13:54.003860,MSGPS_S_0177,10:24:01.33,-58:40:34.82,Target,1257
2023-02-01 21:23:02,07:35:51.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 21:29:02,07:41:51.003860,MSGPS_S_0255,10:39:31.51,-59:33:49.98,Target,1257
2023-02-01 21:50:59,08:03:48.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 21:56:59,08:09:48.003860,MSGPS_S_0354,10:58:07.43,-60:44:33.67,Target,1257
2023-02-01 22:18:56,08:31:45.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 22:24:56,08:37:45.003860,3C138,05:21:09.886021,+16:38:22.05122,Pol_Cal,300
2023-02-01 22:30:56,08:43:45.003860,MSGPS_S_0496,11:25:24.24,-62:19:42.62,Target,1257
2023-02-01 22:52:53,09:05:42.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 22:58:53,09:11:42.003860,MSGPS_S_0617,11:52:03.75,-63:12:38.12,Target,1257
2023-02-01 23:20:50,09:33:39.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-01 23:26:50,09:39:39.003860,MSGPS_S_0738,12:20:04.21,-63:46:00.59,Target,1257
2023-02-01 23:48:47,10:01:36.003860,J1318-4620,13:18:30.06,-46:20:34.9,Phase_Cal,300
2023-02-01 23:54:47,10:07:36.003860,MSGPS_S_0825,12:42:11.36,-64:12:33.96,Target,1257
2023-02-02 00:16:44,10:29:33.003860,J1318-4620,13:18:30.06,-46:20:34.9,Phase_Cal,300
2023-02-02 00:22:44,10:35:33.003860,MSGPS_S_0902,13:00:45.28,-64:12:32.99,Target,1257
2023-02-02 00:44:41,10:57:30.003860,J1318-4620,13:18:30.06,-46:20:34.9,Phase_Cal,300
2023-02-02 00:50:41,11:03:30.003860,MSGPS_S_1023,13:29:39.65,-63:54:58.81,Target,1257
2023-02-02 01:12:38,11:25:27.003860,J1424-4913,14:24:32,-49:13:50,Phase_Cal,300
2023-02-02 01:18:38,11:31:27.003860,MSGPS_S_1199,14:09:52.56,-62:52:44.93,Target,1257
2023-02-02 01:40:35,11:53:24.003860,J1424-4913,14:24:32,-49:13:50,Phase_Cal,300
2023-02-02 01:46:35,11:59:24.003860,MSGPS_S_1430,14:57:09.8,-60:32:51.58,Target,1257
2023-02-02 02:08:32,12:21:21.003860,J1424-4913,14:24:32,-49:13:50,Phase_Cal,300
2023-02-02 02:14:32,12:27:21.003860,MSGPS_S_1717,15:43:35.61,-56:21:43.45,Target,1257
2023-02-02 02:36:29,12:49:18.003860,J1424-4913,14:24:32,-49:13:50,Phase_Cal,300
2023-02-02 02:42:29,12:55:18.003860,MSGPS_S_1936,16:15:39.84,-52:41:39.98,Target,1257
2023-02-02 03:04:26,13:17:15.003860,J1726-5529,17:26:49.7,-55:29:38,Phase_Cal,300
2023-02-02 03:10:26,13:23:15.003860,MSGPS_S_0002,09:57:57.3,-55:54:17.39,Target,1257
2023-02-02 03:32:23,13:45:12.003860,J0906-6829,09:06:52.44,-68:29:39.8,Phase_Cal,300
2023-02-02 03:38:23,13:51:12.003860,J1939-6342,19:39:25.0264,-63:42:45.625,Flux_Cal,300
