name,ra,dec,tags,type,duration
MSGPS_S_0000,09:55:45.19,-56:17:56.74,['target'],track,1257
MSGPS_S_0001,09:56:02.73,-56:00:48.59,['target'],track,1257
MSGPS_S_0085,10:15:53.71,-55:52:17.32,['target'],track,1257
MSGPS_S_0187,10:25:49.99,-59:07:04.15,['target'],track,1257
MSGPS_S_0264,10:39:36.43,-60:08:26.74,['target'],track,1257
MSGPS_S_0363,10:58:32.61,-61:19:02.68,['target'],track,1257
MSGPS_S_0451,11:16:30.81,-62:13:03.37,['target'],track,1257
MSGPS_S_0550,11:37:55.25,-63:02:54.4,['target'],track,1257
MSGPS_S_0649,12:00:24.8,-63:40:08.96,['target'],track,1257
MSGPS_S_0759,12:26:20.73,-64:05:38.66,['target'],track,1257
MSGPS_S_0825,12:42:11.36,-64:12:33.96,['target'],track,1257
MSGPS_S_0880,12:55:27.11,-64:13:26.75,['target'],track,1257
MSGPS_S_0990,13:21:50.56,-64:01:52.48,['target'],track,1257
MSGPS_S_1133,13:55:08.56,-63:20:57.98,['target'],track,1257
MSGPS_S_1320,14:35:32.15,-61:46:57.72,['target'],track,1257
MSGPS_S_1529,15:15:10.53,-59:15:55.59,['target'],track,1257
MSGPS_S_1760,15:52:00.15,-55:45:15.27,['target'],track,1257
MSGPS_S_0002,09:57:57.3,-55:54:17.39,['target'],track,1257
MSGPS_S_0003,09:58:13.69,-55:37:08.06,['target'],track,1257
MSGPS_S_0004,10:00:06.75,-55:30:29.37,['target'],track,1257
MSGPS_S_0005,10:00:22.03,-55:13:18.99,['target'],track,1257
MSGPS_S_0006,10:02:13.61,-55:06:33,['target'],track,1257
MSGPS_S_0087,10:17:51.88,-55:27:21.85,['target'],track,1257
MSGPS_S_0189,10:27:51.92,-58:41:33.17,['target'],track,1257
MSGPS_S_0266,10:41:31.56,-59:42:09.72,['target'],track,1257
MSGPS_S_0374,11:00:43.93,-61:26:15.92,['target'],track,1257
MSGPS_S_0462,11:18:49.92,-62:19:11.08,['target'],track,1257
MSGPS_S_0561,11:40:22.23,-63:07:41.16,['target'],track,1257
MSGPS_S_0660,12:02:58.11,-63:43:28.03,['target'],track,1257
MSGPS_S_0770,12:28:58.57,-64:07:14.38,['target'],track,1257
MSGPS_S_0836,12:44:50.41,-64:13:05.91,['target'],track,1257
MSGPS_S_0891,12:58:06.24,-64:13:05.22,['target'],track,1257
MSGPS_S_1001,13:24:27.35,-63:59:44.99,['target'],track,1257
MSGPS_S_1144,13:57:37.83,-63:16:39.52,['target'],track,1257
MSGPS_S_1331,14:37:46.43,-61:40:08.11,['target'],track,1257
MSGPS_S_1540,15:17:05.51,-59:06:50.01,['target'],track,1257
MSGPS_S_1771,15:53:35.13,-55:34:17.81,['target'],track,1257
MSGPS_S_0011,09:57:23.77,-56:28:35.53,['target'],track,1257
MSGPS_S_0007,10:02:27.83,-54:49:21.66,['target'],track,1257
MSGPS_S_0008,10:04:17.95,-54:42:28.55,['target'],track,1257
MSGPS_S_0009,10:04:31.17,-54:25:16.36,['target'],track,1257
MSGPS_S_0010,10:06:19.84,-54:18:16.31,['target'],track,1257
MSGPS_S_0090,10:11:28.12,-57:16:16.02,['target'],track,1257
MSGPS_S_0191,10:29:50.9,-58:15:55.16,['target'],track,1257
MSGPS_S_0268,10:43:23.71,-59:15:46.58,['target'],track,1257
MSGPS_S_0375,11:00:30,-61:09:02.25,['target'],track,1257
MSGPS_S_0463,11:18:25.53,-62:02:06.68,['target'],track,1257
MSGPS_S_0562,11:39:44.93,-62:50:54.2,['target'],track,1257
MSGPS_S_0661,12:02:07.1,-63:27:06.85,['target'],track,1257
MSGPS_S_0771,12:27:52.16,-63:51:32.19,['target'],track,1257
MSGPS_S_0837,12:43:35.08,-63:57:52.24,['target'],track,1257
MSGPS_S_0902,13:00:45.28,-64:12:32.99,['target'],track,1257
MSGPS_S_1012,13:27:03.72,-63:57:27.09,['target'],track,1257
MSGPS_S_1145,13:55:50.33,-63:04:18.58,['target'],track,1257
MSGPS_S_1342,14:39:59.72,-61:33:10.45,['target'],track,1257
MSGPS_S_1551,15:18:59.48,-58:57:38.24,['target'],track,1257
MSGPS_S_1782,15:55:09.24,-55:23:15.89,['target'],track,1257
MSGPS_S_0012,09:57:40.67,-56:11:26.55,['target'],track,1257
MSGPS_S_0013,09:59:35.49,-56:04:49.74,['target'],track,1257
MSGPS_S_0014,09:59:51.24,-55:47:39.63,['target'],track,1257
MSGPS_S_0015,10:01:44.53,-55:40:55.36,['target'],track,1257
MSGPS_S_0016,10:01:59.17,-55:23:44.24,['target'],track,1257
MSGPS_S_0092,10:13:33.61,-56:51:36.58,['target'],track,1257
MSGPS_S_0193,10:31:47.04,-57:50:10.41,['target'],track,1257
MSGPS_S_0270,10:45:13,-58:49:17.56,['target'],track,1257
MSGPS_S_0376,11:02:26.16,-60:58:55.59,['target'],track,1257
MSGPS_S_0464,11:20:18.9,-61:51:04.17,['target'],track,1257
