Start Time UTC,Start Time LST,Source_Name,RA,DEC,Obs_Type,Integration_Time
2024-11-15 07:54:37,12:59:59.999210,J1939-6342,19:39:25.0264,-63:42:45.625,fluxcal,300
2024-11-15 07:59:38,13:05:00.999210,3C286,13:31:08.2879,+30:30:32.958,polcal,300
2024-11-15 08:04:39,13:10:01.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 08:06:40,13:12:02.999210,MMGPS_U_0034,12:09:50.87,-69:28:00.66,Target,505
2024-11-15 08:15:05,13:20:27.999210,MMGPS_U_0035,12:15:47,-68:48:06.86,Target,505
2024-11-15 08:23:30,13:28:52.999210,MMGPS_U_0036,12:12:23.67,-68:00:41.44,Target,505
2024-11-15 08:31:55,13:37:17.999210,MMGPS_U_0063,12:19:24.46,-69:35:16.64,Target,505
2024-11-15 08:40:21,13:45:43.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 08:42:22,13:47:44.999210,MMGPS_U_0037,12:17:54.31,-67:20:30.31,Target,505
2024-11-15 08:50:47,13:56:09.999210,MMGPS_U_0038,12:14:38.36,-66:33:14.42,Target,505
2024-11-15 08:59:12,14:04:34.999210,MMGPS_U_0064,12:25:05.62,-68:54:14.48,Target,505
2024-11-15 09:07:37,14:12:59.999210,MMGPS_U_0065,12:21:22.98,-68:07:30.84,Target,505
2024-11-15 09:16:03,14:21:25.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 09:18:03,14:23:25.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 09:20:04,14:25:26.999210,MMGPS_U_0039,12:19:46.97,-65:52:48.2,Target,505
2024-11-15 09:28:29,14:33:51.999210,MMGPS_U_0040,12:16:38.12,-65:05:40.98,Target,505
2024-11-15 09:36:54,14:42:16.999210,MMGPS_U_0041,12:21:27.47,-64:25:01.48,Target,505
2024-11-15 09:45:19,14:50:41.999210,MMGPS_U_0042,12:18:25.42,-63:38:02.19,Target,505
2024-11-15 09:53:45,14:59:07.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 09:55:45,15:01:07.999210,3C286,13:31:08.2879,+30:30:32.958,polcal,300
2024-11-15 10:00:47,15:06:09.999210,MMGPS_U_0043,12:22:57.78,-62:57:10.9,Target,505
2024-11-15 10:09:12,15:14:34.999210,MMGPS_U_0044,12:20:02.21,-62:10:18.89,Target,505
2024-11-15 10:17:37,15:22:59.999210,MMGPS_U_0045,12:24:19.49,-61:29:17.07,Target,505
2024-11-15 10:26:02,15:31:24.999210,MMGPS_U_0026,12:23:53.08,-54:04:19.89,Target,505
2024-11-15 10:34:28,15:39:50.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 10:36:28,15:41:50.999210,J1218-4600,12:18:06,-46:00:29,gaincal,120
2024-11-15 10:38:29,15:43:51.999210,MMGPS_U_0027,12:21:37.47,-53:17:34.24,Target,505
2024-11-15 10:46:54,15:52:16.999210,MMGPS_U_0028,12:24:55.94,-52:36:25.18,Target,505
2024-11-15 10:55:19,16:00:41.999210,MMGPS_U_0046,12:21:30.07,-60:42:31.76,Target,505
2024-11-15 11:03:44,16:09:06.999210,MMGPS_U_0047,12:25:33.84,-60:01:20.45,Target,505
